Date ID	Order Date	Ship Date	Day of Week
PL-2012-7820	8/8/2012 12:00:00 AM	8/10/2012 12:00:00 AM	3
ES-2013-2860574	2/27/2013 12:00:00 AM	3/1/2013 12:00:00 AM	3
US-2011-128776	12/28/2011 12:00:00 AM	12/30/2011 12:00:00 AM	3
CG-2011-8610	9/14/2011 12:00:00 AM	9/15/2011 12:00:00 AM	3
CA-2011-160766	9/14/2011 12:00:00 AM	9/14/2011 12:00:00 AM	3
US-2014-168116	11/5/2014 12:00:00 AM	11/5/2014 12:00:00 AM	3
MZ-2013-3690	12/18/2013 12:00:00 AM	12/18/2013 12:00:00 AM	3
IN-2012-66342	5/30/2012 12:00:00 AM	5/31/2012 12:00:00 AM	3
UP-2011-8610	11/9/2011 12:00:00 AM	11/11/2011 12:00:00 AM	3
IN-2011-62506	11/9/2011 12:00:00 AM	11/11/2011 12:00:00 AM	3
ES-2014-3785216	11/19/2014 12:00:00 AM	11/23/2014 12:00:00 AM	3
IN-2012-64774	6/13/2012 12:00:00 AM	6/13/2012 12:00:00 AM	3
ES-2013-2903666	11/27/2013 12:00:00 AM	11/29/2013 12:00:00 AM	3
IN-2012-30446	11/28/2012 12:00:00 AM	12/2/2012 12:00:00 AM	3
IN-2014-13639	11/19/2014 12:00:00 AM	11/25/2014 12:00:00 AM	3
IT-2013-5208514	3/13/2013 12:00:00 AM	3/13/2013 12:00:00 AM	3
US-2013-107440	4/17/2013 12:00:00 AM	4/21/2013 12:00:00 AM	3
ES-2012-4765389	12/26/2012 12:00:00 AM	12/28/2012 12:00:00 AM	3
IT-2011-1978668	2/16/2011 12:00:00 AM	2/19/2011 12:00:00 AM	3
CA-2011-145541	12/14/2011 12:00:00 AM	12/21/2011 12:00:00 AM	3
CA-2013-117121	12/18/2013 12:00:00 AM	12/22/2013 12:00:00 AM	3
ID-2013-79432	12/11/2013 12:00:00 AM	12/14/2013 12:00:00 AM	3
IN-2012-57025	1/11/2012 12:00:00 AM	1/15/2012 12:00:00 AM	3
CA-2014-159366	1/8/2014 12:00:00 AM	1/11/2014 12:00:00 AM	3
MX-2014-111941	4/9/2014 12:00:00 AM	4/13/2014 12:00:00 AM	3
MX-2014-152961	3/19/2014 12:00:00 AM	3/21/2014 12:00:00 AM	3
IN-2013-17041	10/2/2013 12:00:00 AM	10/4/2013 12:00:00 AM	3
SA-2014-1270	8/20/2014 12:00:00 AM	8/25/2014 12:00:00 AM	3
ID-2014-10076	7/9/2014 12:00:00 AM	7/13/2014 12:00:00 AM	3
ES-2011-2257437	8/10/2011 12:00:00 AM	8/17/2011 12:00:00 AM	3
