Order ID,Order Priority,Market,Ship Mode,Returned
ID-2011-11126,2,APAC,Standard Class,False
ID-2011-11385,2,APAC,Standard Class,False
ID-2011-12596,2,APAC,Standard Class,False
ID-2011-13114,2,APAC,Standard Class,False
ID-2011-13170,2,APAC,Standard Class,False
ID-2011-13884,2,APAC,Standard Class,False
ID-2011-14122,2,APAC,Standard Class,False
ID-2011-14220,2,APAC,Standard Class,False
ID-2011-15802,2,APAC,Standard Class,False
ID-2011-15970,2,APAC,Standard Class,False
ID-2011-17174,2,APAC,Standard Class,False
ID-2011-17237,2,APAC,Standard Class,False
ID-2011-18056,2,APAC,Standard Class,False
ID-2011-18140,2,APAC,Standard Class,False
ID-2011-18749,2,APAC,Standard Class,False
ID-2011-22935,2,APAC,Standard Class,False
ID-2011-23215,2,APAC,Standard Class,False
ID-2011-23698,2,APAC,Standard Class,False
ID-2011-25287,2,APAC,Standard Class,False
ID-2011-26596,2,APAC,Standard Class,False
ID-2011-28395,2,APAC,Standard Class,False
ID-2011-28752,2,APAC,Standard Class,False
ID-2011-28927,2,APAC,Standard Class,False
ID-2011-29389,2,APAC,Standard Class,False
ID-2011-30922,2,APAC,Standard Class,False
ID-2011-31699,2,APAC,Standard Class,False
ID-2011-32819,2,APAC,Standard Class,False
ID-2011-34996,2,APAC,Standard Class,False
ID-2011-35633,2,APAC,Standard Class,False
ID-2011-35885,2,APAC,Standard Class,False
ID-2011-36172,2,APAC,Standard Class,False
ID-2011-36333,2,APAC,Standard Class,False
ID-2011-37271,2,APAC,Standard Class,False
ID-2011-37782,2,APAC,Standard Class,False
ID-2011-39630,2,APAC,Standard Class,False
ID-2011-39721,2,APAC,Standard Class,False
ID-2011-41058,2,APAC,Standard Class,False
ID-2011-41632,2,APAC,Standard Class,False
ID-2011-41751,2,APAC,Standard Class,False
ID-2011-42493,2,APAC,Standard Class,False
ID-2011-43788,2,APAC,Standard Class,False
ID-2011-43858,2,APAC,Standard Class,False
ID-2011-43977,2,APAC,Standard Class,False
ID-2011-44292,2,APAC,Standard Class,False
ID-2011-45062,2,APAC,Standard Class,False
ID-2011-45272,2,APAC,Standard Class,False
ID-2011-45433,2,APAC,Standard Class,False
ID-2011-45804,2,APAC,Standard Class,False
ID-2011-46049,2,APAC,Standard Class,False
ID-2011-46231,2,APAC,Standard Class,False
ID-2011-46819,2,APAC,Standard Class,False
ID-2011-48401,2,APAC,Standard Class,False
ID-2011-49101,2,APAC,Standard Class,False
ID-2011-49710,2,APAC,Standard Class,False
ID-2011-50382,2,APAC,Standard Class,False
ID-2011-50494,2,APAC,Standard Class,False
ID-2011-50991,2,APAC,Standard Class,False
ID-2011-52839,2,APAC,Standard Class,False
ID-2011-53287,2,APAC,Standard Class,False
ID-2011-53686,2,APAC,Standard Class,False
ID-2011-54176,2,APAC,Standard Class,False
ID-2011-54449,2,APAC,Standard Class,False
ID-2011-54834,2,APAC,Standard Class,False
ID-2011-54974,2,APAC,Standard Class,False
ID-2011-55849,2,APAC,Standard Class,False
ID-2011-55975,2,APAC,Standard Class,False
ID-2011-56129,2,APAC,Standard Class,False
ID-2011-56535,2,APAC,Standard Class,False
ID-2011-56969,2,APAC,Standard Class,False
ID-2011-57179,2,APAC,Standard Class,False
ID-2011-57291,2,APAC,Standard Class,False
ID-2011-57396,2,APAC,Standard Class,False
ID-2011-58250,2,APAC,Standard Class,False
ID-2011-58824,2,APAC,Standard Class,False
ID-2011-59601,2,APAC,Standard Class,False
ID-2011-59895,2,APAC,Standard Class,False
ID-2011-61876,2,APAC,Standard Class,False
ID-2011-62142,2,APAC,Standard Class,False
ID-2011-63017,2,APAC,Standard Class,False
ID-2011-63402,2,APAC,Standard Class,False
ID-2011-64088,2,APAC,Standard Class,False
ID-2011-64704,2,APAC,Standard Class,False
ID-2011-64837,2,APAC,Standard Class,False
ID-2011-66048,2,APAC,Standard Class,False
ID-2011-66412,2,APAC,Standard Class,False
ID-2011-67301,2,APAC,Standard Class,False
ID-2011-68834,2,APAC,Standard Class,False
ID-2011-69611,2,APAC,Standard Class,False
ID-2011-69772,2,APAC,Standard Class,False
ID-2011-70787,2,APAC,Standard Class,False
ID-2011-74091,2,APAC,Standard Class,False
ID-2011-74679,2,APAC,Standard Class,False
ID-2011-75022,2,APAC,Standard Class,False
ID-2011-75232,2,APAC,Standard Class,False
ID-2011-76520,2,APAC,Standard Class,False
ID-2011-76884,2,APAC,Standard Class,False
ID-2011-77192,2,APAC,Standard Class,False
ID-2011-77696,2,APAC,Standard Class,False
ID-2011-78102,2,APAC,Standard Class,False
ID-2011-78193,2,APAC,Standard Class,False
ID-2011-81588,2,APAC,Standard Class,False
ID-2011-82148,2,APAC,Standard Class,False
ID-2011-82414,2,APAC,Standard Class,False
ID-2011-82589,2,APAC,Standard Class,False
ID-2011-82785,2,APAC,Standard Class,False
ID-2011-82897,2,APAC,Standard Class,False
ID-2011-83737,2,APAC,Standard Class,False
ID-2011-84136,2,APAC,Standard Class,False
ID-2011-84514,2,APAC,Standard Class,False
ID-2011-85039,2,APAC,Standard Class,False
ID-2011-85396,2,APAC,Standard Class,False
ID-2011-85928,2,APAC,Standard Class,False
ID-2011-86313,2,APAC,Standard Class,False
ID-2012-10755,2,APAC,Standard Class,False
ID-2012-12869,2,APAC,Standard Class,False
ID-2012-12953,2,APAC,Standard Class,False
ID-2012-13058,2,APAC,Standard Class,False
ID-2012-13268,2,APAC,Standard Class,False
ID-2012-13450,2,APAC,Standard Class,False
ID-2012-14073,2,APAC,Standard Class,False
ID-2012-14157,2,APAC,Standard Class,False
ID-2012-14500,2,APAC,Standard Class,False
ID-2012-15641,2,APAC,Standard Class,False
ID-2012-19575,2,APAC,Standard Class,False
ID-2012-20037,2,APAC,Standard Class,False
ID-2012-22081,2,APAC,Standard Class,False
ID-2012-22858,2,APAC,Standard Class,False
ID-2012-23152,2,APAC,Standard Class,False
ID-2012-23502,2,APAC,Standard Class,False
ID-2012-23516,2,APAC,Standard Class,False
ID-2012-23733,2,APAC,Standard Class,False
ID-2012-23740,2,APAC,Standard Class,False
ID-2012-24048,2,APAC,Standard Class,False
ID-2012-24111,2,APAC,Standard Class,False
ID-2012-24251,2,APAC,Standard Class,False
ID-2012-24510,2,APAC,Standard Class,False
ID-2012-24881,2,APAC,Standard Class,False
ID-2012-25217,2,APAC,Standard Class,False
ID-2012-26778,2,APAC,Standard Class,False
ID-2012-28409,2,APAC,Standard Class,False
ID-2012-28689,2,APAC,Standard Class,False
ID-2012-28780,2,APAC,Standard Class,False
ID-2012-29424,2,APAC,Standard Class,False
ID-2012-30635,2,APAC,Standard Class,False
ID-2012-30712,2,APAC,Standard Class,False
ID-2012-30838,2,APAC,Standard Class,False
ID-2012-31174,2,APAC,Standard Class,False
ID-2012-31419,2,APAC,Standard Class,False
ID-2012-31426,2,APAC,Standard Class,False
ID-2012-32427,2,APAC,Standard Class,False
ID-2012-32532,2,APAC,Standard Class,False
ID-2012-32840,2,APAC,Standard Class,False
ID-2012-33141,2,APAC,Standard Class,False
ID-2012-33505,2,APAC,Standard Class,False
ID-2012-34772,2,APAC,Standard Class,False
ID-2012-34884,2,APAC,Standard Class,False
ID-2012-35199,2,APAC,Standard Class,False
ID-2012-36221,2,APAC,Standard Class,False
ID-2012-36977,2,APAC,Standard Class,False
ID-2012-37005,2,APAC,Standard Class,False
ID-2012-37047,2,APAC,Standard Class,False
ID-2012-37082,2,APAC,Standard Class,False
ID-2012-37642,2,APAC,Standard Class,False
ID-2012-39749,2,APAC,Standard Class,False
ID-2012-40064,2,APAC,Standard Class,False
ID-2012-40106,2,APAC,Standard Class,False
ID-2012-40176,2,APAC,Standard Class,False
ID-2012-40743,2,APAC,Standard Class,False
ID-2012-40750,2,APAC,Standard Class,False
ID-2012-41380,2,APAC,Standard Class,False
ID-2012-41408,2,APAC,Standard Class,False
ID-2012-41982,2,APAC,Standard Class,False
ID-2012-42962,2,APAC,Standard Class,False
ID-2012-43921,2,APAC,Standard Class,False
ID-2012-44495,2,APAC,Standard Class,False
ID-2012-45363,2,APAC,Standard Class,False
ID-2012-46315,2,APAC,Standard Class,False
ID-2012-46392,2,APAC,Standard Class,False
ID-2012-46882,2,APAC,Standard Class,False
ID-2012-47456,2,APAC,Standard Class,False
