,y_test,y_pred
0,Standard Class,Standard Class
1,First Class,First Class
2,Standard Class,Standard Class
3,Standard Class,First Class
4,First Class,Standard Class
5,Standard Class,Standard Class
6,Standard Class,Standard Class
7,Standard Class,Standard Class
8,Second Class,Standard Class
9,First Class,Standard Class
10,First Class,First Class
11,Standard Class,Second Class
12,Standard Class,Standard Class
13,Standard Class,Standard Class
14,Standard Class,Standard Class
15,Standard Class,Standard Class
16,Standard Class,Standard Class
17,Standard Class,Standard Class
18,Second Class,Standard Class
19,Standard Class,Standard Class
20,Same Day,Second Class
21,Standard Class,Standard Class
22,Standard Class,Standard Class
23,Second Class,Second Class
24,Standard Class,Standard Class
25,Standard Class,Standard Class
26,First Class,First Class
27,Standard Class,Standard Class
28,Standard Class,Standard Class
29,Standard Class,First Class
30,First Class,Standard Class
31,Standard Class,Second Class
32,Standard Class,Standard Class
33,First Class,Second Class
34,Standard Class,Standard Class
35,Standard Class,Second Class
36,Second Class,Standard Class
37,Second Class,Standard Class
38,First Class,Standard Class
39,First Class,First Class
40,Standard Class,Standard Class
41,Second Class,Standard Class
42,First Class,Standard Class
43,Standard Class,Standard Class
44,First Class,Standard Class
45,Same Day,First Class
46,Standard Class,Standard Class
47,Standard Class,Standard Class
48,Standard Class,Standard Class
49,First Class,First Class
50,Standard Class,Standard Class
51,Second Class,Standard Class
52,Standard Class,Standard Class
53,Second Class,Second Class
54,First Class,First Class
55,Second Class,Second Class
56,Standard Class,Standard Class
57,Standard Class,Standard Class
58,Standard Class,Second Class
59,Standard Class,Standard Class
60,First Class,First Class
61,First Class,First Class
62,Standard Class,Standard Class
63,Standard Class,Standard Class
64,Standard Class,Standard Class
65,Second Class,Second Class
66,Standard Class,Standard Class
67,Standard Class,Standard Class
68,Standard Class,Standard Class
69,Second Class,Second Class
70,Second Class,Second Class
71,Standard Class,Standard Class
72,Second Class,Second Class
73,Same Day,First Class
74,First Class,Standard Class
75,Standard Class,Standard Class
76,Second Class,Second Class
77,Standard Class,Standard Class
78,Standard Class,Standard Class
79,Standard Class,Standard Class
80,Second Class,Standard Class
81,Standard Class,Standard Class
82,Standard Class,Standard Class
83,Same Day,Second Class
84,Standard Class,Standard Class
85,First Class,First Class
86,Standard Class,Standard Class
87,First Class,Standard Class
88,First Class,First Class
89,Standard Class,Standard Class
90,Standard Class,Standard Class
91,Second Class,Second Class
92,Standard Class,Standard Class
93,Standard Class,Standard Class
94,Standard Class,Standard Class
95,Standard Class,Standard Class
96,Standard Class,Standard Class
97,Standard Class,Second Class
98,First Class,First Class
99,Second Class,Standard Class
100,Second Class,Standard Class
101,First Class,Standard Class
102,Second Class,Standard Class
103,First Class,First Class
104,Standard Class,Standard Class
105,Standard Class,Standard Class
106,Second Class,Second Class
107,Standard Class,Standard Class
108,Standard Class,Standard Class
109,Second Class,Second Class
110,Standard Class,Standard Class
111,First Class,First Class
112,Standard Class,Standard Class
113,Standard Class,Standard Class
114,Standard Class,Standard Class
115,Same Day,First Class
116,Standard Class,Standard Class
117,Standard Class,Standard Class
118,Standard Class,Standard Class
119,Standard Class,Standard Class
120,Standard Class,Standard Class
121,Standard Class,Standard Class
122,Standard Class,Standard Class
123,Same Day,Same Day
124,Standard Class,Standard Class
125,First Class,Standard Class
126,Standard Class,Standard Class
127,Standard Class,Standard Class
128,Standard Class,Standard Class
129,Standard Class,Standard Class
130,Standard Class,Standard Class
131,Second Class,Standard Class
132,Same Day,Same Day
133,Standard Class,Standard Class
134,Standard Class,Standard Class
135,Standard Class,Standard Class
136,Second Class,Second Class
137,First Class,Standard Class
138,Standard Class,Standard Class
