Order ID	Order Priority	Market	Ship Mode	Returned
ID-2011-11126	Medium	APAC	Standard Class	False
ID-2011-11385	Medium	APAC	Standard Class	False
ID-2011-12596	Medium	APAC	Standard Class	False
ID-2011-13114	Medium	APAC	Standard Class	False
ID-2011-13170	Medium	APAC	Standard Class	False
ID-2011-13884	Medium	APAC	Standard Class	False
ID-2011-14122	Medium	APAC	Standard Class	False
ID-2011-14220	Medium	APAC	Standard Class	False
ID-2011-15802	Medium	APAC	Standard Class	False
ID-2011-15970	Medium	APAC	Standard Class	False
ID-2011-17174	Medium	APAC	Standard Class	False
ID-2011-17237	Medium	APAC	Standard Class	False
ID-2011-18056	Medium	APAC	Standard Class	False
ID-2011-18140	Medium	APAC	Standard Class	False
ID-2011-18749	Medium	APAC	Standard Class	False
ID-2011-22935	Medium	APAC	Standard Class	False
ID-2011-23215	Medium	APAC	Standard Class	False
ID-2011-23698	Medium	APAC	Standard Class	False
ID-2011-25287	Medium	APAC	Standard Class	False
ID-2011-26596	Medium	APAC	Standard Class	False
ID-2011-28395	Medium	APAC	Standard Class	False
ID-2011-28752	Medium	APAC	Standard Class	False
ID-2011-28927	Medium	APAC	Standard Class	False
ID-2011-29389	Medium	APAC	Standard Class	False
ID-2011-30922	Medium	APAC	Standard Class	False
ID-2011-31699	Medium	APAC	Standard Class	False
ID-2011-32819	Medium	APAC	Standard Class	False
ID-2011-34996	Medium	APAC	Standard Class	False
ID-2011-35633	Medium	APAC	Standard Class	False
ID-2011-35885	Medium	APAC	Standard Class	False
ID-2011-36172	Medium	APAC	Standard Class	False
ID-2011-36333	Medium	APAC	Standard Class	False
ID-2011-37271	Medium	APAC	Standard Class	False
ID-2011-37782	Medium	APAC	Standard Class	False
ID-2011-39630	Medium	APAC	Standard Class	False
ID-2011-39721	Medium	APAC	Standard Class	False
ID-2011-41058	Medium	APAC	Standard Class	False
ID-2011-41632	Medium	APAC	Standard Class	False
ID-2011-41751	Medium	APAC	Standard Class	False
ID-2011-42493	Medium	APAC	Standard Class	False
ID-2011-43788	Medium	APAC	Standard Class	False
ID-2011-43858	Medium	APAC	Standard Class	False
ID-2011-43977	Medium	APAC	Standard Class	False
ID-2011-44292	Medium	APAC	Standard Class	False
ID-2011-45062	Medium	APAC	Standard Class	False
ID-2011-45272	Medium	APAC	Standard Class	False
ID-2011-45433	Medium	APAC	Standard Class	False
ID-2011-45804	Medium	APAC	Standard Class	False
ID-2011-46049	Medium	APAC	Standard Class	False
ID-2011-46231	Medium	APAC	Standard Class	False
ID-2011-46819	Medium	APAC	Standard Class	False
ID-2011-48401	Medium	APAC	Standard Class	False
ID-2011-49101	Medium	APAC	Standard Class	False
ID-2011-49710	Medium	APAC	Standard Class	False
ID-2011-50382	Medium	APAC	Standard Class	False
ID-2011-50494	Medium	APAC	Standard Class	False
ID-2011-50991	Medium	APAC	Standard Class	False
ID-2011-52839	Medium	APAC	Standard Class	False
ID-2011-53287	Medium	APAC	Standard Class	False
ID-2011-53686	Medium	APAC	Standard Class	False
ID-2011-54176	Medium	APAC	Standard Class	False
ID-2011-54449	Medium	APAC	Standard Class	False
ID-2011-54834	Medium	APAC	Standard Class	False
ID-2011-54974	Medium	APAC	Standard Class	False
ID-2011-55849	Medium	APAC	Standard Class	False
ID-2011-55975	Medium	APAC	Standard Class	False
ID-2011-56129	Medium	APAC	Standard Class	False
ID-2011-56535	Medium	APAC	Standard Class	False
ID-2011-56969	Medium	APAC	Standard Class	False
ID-2011-57179	Medium	APAC	Standard Class	False
ID-2011-57291	Medium	APAC	Standard Class	False
ID-2011-57396	Medium	APAC	Standard Class	False
ID-2011-58250	Medium	APAC	Standard Class	False
ID-2011-58824	Medium	APAC	Standard Class	False
ID-2011-59601	Medium	APAC	Standard Class	False
ID-2011-59895	Medium	APAC	Standard Class	False
ID-2011-61876	Medium	APAC	Standard Class	False
ID-2011-62142	Medium	APAC	Standard Class	False
ID-2011-63017	Medium	APAC	Standard Class	False
ID-2011-63402	Medium	APAC	Standard Class	False
ID-2011-64088	Medium	APAC	Standard Class	False
ID-2011-64704	Medium	APAC	Standard Class	False
ID-2011-64837	Medium	APAC	Standard Class	False
ID-2011-66048	Medium	APAC	Standard Class	False
ID-2011-66412	Medium	APAC	Standard Class	False
ID-2011-67301	Medium	APAC	Standard Class	False
ID-2011-68834	Medium	APAC	Standard Class	False
ID-2011-69611	Medium	APAC	Standard Class	False
ID-2011-69772	Medium	APAC	Standard Class	False
ID-2011-70787	Medium	APAC	Standard Class	False
ID-2011-74091	Medium	APAC	Standard Class	False
ID-2011-74679	Medium	APAC	Standard Class	False
ID-2011-75022	Medium	APAC	Standard Class	False
ID-2011-75232	Medium	APAC	Standard Class	False
ID-2011-76520	Medium	APAC	Standard Class	False
ID-2011-76884	Medium	APAC	Standard Class	False
ID-2011-77192	Medium	APAC	Standard Class	False
ID-2011-77696	Medium	APAC	Standard Class	False
ID-2011-78102	Medium	APAC	Standard Class	False
ID-2011-78193	Medium	APAC	Standard Class	False
ID-2011-81588	Medium	APAC	Standard Class	False
ID-2011-82148	Medium	APAC	Standard Class	False
ID-2011-82414	Medium	APAC	Standard Class	False
ID-2011-82589	Medium	APAC	Standard Class	False
ID-2011-82785	Medium	APAC	Standard Class	False
ID-2011-82897	Medium	APAC	Standard Class	False
ID-2011-83737	Medium	APAC	Standard Class	False
ID-2011-84136	Medium	APAC	Standard Class	False
ID-2011-84514	Medium	APAC	Standard Class	False
ID-2011-85039	Medium	APAC	Standard Class	False
ID-2011-85396	Medium	APAC	Standard Class	False
ID-2011-85928	Medium	APAC	Standard Class	False
ID-2011-86313	Medium	APAC	Standard Class	False
ID-2012-10755	Medium	APAC	Standard Class	False
ID-2012-12869	Medium	APAC	Standard Class	False
ID-2012-12953	Medium	APAC	Standard Class	False
ID-2012-13058	Medium	APAC	Standard Class	False
ID-2012-13268	Medium	APAC	Standard Class	False
ID-2012-13450	Medium	APAC	Standard Class	False
ID-2012-14073	Medium	APAC	Standard Class	False
ID-2012-14157	Medium	APAC	Standard Class	False
ID-2012-14500	Medium	APAC	Standard Class	False
ID-2012-15641	Medium	APAC	Standard Class	False
ID-2012-19575	Medium	APAC	Standard Class	False
ID-2012-20037	Medium	APAC	Standard Class	False
ID-2012-22081	Medium	APAC	Standard Class	False
ID-2012-22858	Medium	APAC	Standard Class	False
ID-2012-23152	Medium	APAC	Standard Class	False
ID-2012-23502	Medium	APAC	Standard Class	False
ID-2012-23516	Medium	APAC	Standard Class	False
ID-2012-23733	Medium	APAC	Standard Class	False
ID-2012-23740	Medium	APAC	Standard Class	False
ID-2012-24048	Medium	APAC	Standard Class	False
ID-2012-24111	Medium	APAC	Standard Class	False
ID-2012-24251	Medium	APAC	Standard Class	False
ID-2012-24510	Medium	APAC	Standard Class	False
ID-2012-24881	Medium	APAC	Standard Class	False
ID-2012-25217	Medium	APAC	Standard Class	False
ID-2012-26778	Medium	APAC	Standard Class	False
ID-2012-28409	Medium	APAC	Standard Class	False
ID-2012-28689	Medium	APAC	Standard Class	False
ID-2012-28780	Medium	APAC	Standard Class	False
ID-2012-29424	Medium	APAC	Standard Class	False
ID-2012-30635	Medium	APAC	Standard Class	False
ID-2012-30712	Medium	APAC	Standard Class	False
ID-2012-30838	Medium	APAC	Standard Class	False
ID-2012-31174	Medium	APAC	Standard Class	False
ID-2012-31419	Medium	APAC	Standard Class	False
ID-2012-31426	Medium	APAC	Standard Class	False
ID-2012-32427	Medium	APAC	Standard Class	False
ID-2012-32532	Medium	APAC	Standard Class	False
ID-2012-32840	Medium	APAC	Standard Class	False
ID-2012-33141	Medium	APAC	Standard Class	False
ID-2012-33505	Medium	APAC	Standard Class	False
ID-2012-34772	Medium	APAC	Standard Class	False
ID-2012-34884	Medium	APAC	Standard Class	False
ID-2012-35199	Medium	APAC	Standard Class	False
ID-2012-36221	Medium	APAC	Standard Class	False
ID-2012-36977	Medium	APAC	Standard Class	False
ID-2012-37005	Medium	APAC	Standard Class	False
ID-2012-37047	Medium	APAC	Standard Class	False
ID-2012-37082	Medium	APAC	Standard Class	False
ID-2012-37642	Medium	APAC	Standard Class	False
ID-2012-39749	Medium	APAC	Standard Class	False
ID-2012-40064	Medium	APAC	Standard Class	False
ID-2012-40106	Medium	APAC	Standard Class	False
ID-2012-40176	Medium	APAC	Standard Class	False
ID-2012-40743	Medium	APAC	Standard Class	False
ID-2012-40750	Medium	APAC	Standard Class	False
ID-2012-41380	Medium	APAC	Standard Class	False
ID-2012-41408	Medium	APAC	Standard Class	False
ID-2012-41982	Medium	APAC	Standard Class	False
ID-2012-42962	Medium	APAC	Standard Class	False
ID-2012-43921	Medium	APAC	Standard Class	False
ID-2012-44495	Medium	APAC	Standard Class	False
ID-2012-45363	Medium	APAC	Standard Class	False
ID-2012-46315	Medium	APAC	Standard Class	False
ID-2012-46392	Medium	APAC	Standard Class	False
ID-2012-46882	Medium	APAC	Standard Class	False
ID-2012-47456	Medium	APAC	Standard Class	False
ID-2012-48541	Medium	APAC	Standard Class	False
ID-2012-48639	Medium	APAC	Standard Class	False
ID-2012-50123	Medium	APAC	Standard Class	False
ID-2012-53301	Medium	APAC	Standard Class	False
ID-2012-53399	Medium	APAC	Standard Class	False
ID-2012-53749	Medium	APAC	Standard Class	False
ID-2012-54043	Medium	APAC	Standard Class	False
ID-2012-54911	Medium	APAC	Standard Class	False
ID-2012-55163	Medium	APAC	Standard Class	False
ID-2012-55359	Medium	APAC	Standard Class	False
ID-2012-55422	Medium	APAC	Standard Class	False
ID-2012-56402	Medium	APAC	Standard Class	False
ID-2012-56843	Medium	APAC	Standard Class	False
ID-2012-57655	Medium	APAC	Standard Class	False
ID-2012-57669	Medium	APAC	Standard Class	False
ID-2012-57809	Medium	APAC	Standard Class	False
ID-2012-58201	Medium	APAC	Standard Class	False
ID-2012-58495	Medium	APAC	Standard Class	False
ID-2012-58530	Medium	APAC	Standard Class	False
ID-2012-59041	Medium	APAC	Standard Class	False
ID-2012-59384	Medium	APAC	Standard Class	False
ID-2012-60427	Medium	APAC	Standard Class	False
ID-2012-61071	Medium	APAC	Standard Class	False
ID-2012-61659	Medium	APAC	Standard Class	False
ID-2012-61715	Medium	APAC	Standard Class	False
ID-2012-62240	Medium	APAC	Standard Class	False
ID-2012-63430	Medium	APAC	Standard Class	False
ID-2012-63535	Medium	APAC	Standard Class	False
ID-2012-63983	Medium	APAC	Standard Class	False
ID-2012-64655	Medium	APAC	Standard Class	False
ID-2012-64844	Medium	APAC	Standard Class	False
ID-2012-65236	Medium	APAC	Standard Class	False
ID-2012-65957	Medium	APAC	Standard Class	False
ID-2012-66055	Medium	APAC	Standard Class	False
ID-2012-66643	Medium	APAC	Standard Class	False
ID-2012-68050	Medium	APAC	Standard Class	False
ID-2012-68701	Medium	APAC	Standard Class	False
ID-2012-69065	Medium	APAC	Standard Class	False
ID-2012-69975	Medium	APAC	Standard Class	False
ID-2012-71858	Medium	APAC	Standard Class	False
ID-2012-72558	Medium	APAC	Standard Class	False
ID-2012-73125	Medium	APAC	Standard Class	False
ID-2012-73146	Medium	APAC	Standard Class	False
ID-2012-73153	Medium	APAC	Standard Class	False
ID-2012-73391	Medium	APAC	Standard Class	False
ID-2012-74308	Medium	APAC	Standard Class	False
ID-2012-75309	Medium	APAC	Standard Class	False
ID-2012-75316	Medium	APAC	Standard Class	False
ID-2012-75925	Medium	APAC	Standard Class	False
ID-2012-75967	Medium	APAC	Standard Class	False
ID-2012-76457	Medium	APAC	Standard Class	False
ID-2012-76954	Medium	APAC	Standard Class	False
ID-2012-78515	Medium	APAC	Standard Class	False
ID-2012-79124	Medium	APAC	Standard Class	False
ID-2012-79586	Medium	APAC	Standard Class	False
ID-2012-79621	Medium	APAC	Standard Class	False
ID-2012-79789	Medium	APAC	Standard Class	False
ID-2012-79810	Medium	APAC	Standard Class	False
ID-2012-79999	Medium	APAC	Standard Class	False
ID-2012-80832	Medium	APAC	Standard Class	False
ID-2012-81189	Medium	APAC	Standard Class	False
ID-2012-81392	Medium	APAC	Standard Class	False
ID-2012-82428	Medium	APAC	Standard Class	False
ID-2012-82701	Medium	APAC	Standard Class	False
ID-2012-82960	Medium	APAC	Standard Class	False
ID-2012-83149	Medium	APAC	Standard Class	False
ID-2012-83331	Medium	APAC	Standard Class	False
ID-2012-83870	Medium	APAC	Standard Class	False
ID-2012-83905	Medium	APAC	Standard Class	False
ID-2012-84171	Medium	APAC	Standard Class	False
ID-2012-84381	Medium	APAC	Standard Class	False
ID-2012-84927	Medium	APAC	Standard Class	False
ID-2012-85256	Medium	APAC	Standard Class	False
ID-2012-85711	Medium	APAC	Standard Class	False
ID-2012-86943	Medium	APAC	Standard Class	False
ID-2013-10468	Medium	APAC	Standard Class	False
ID-2013-10636	Medium	APAC	Standard Class	False
ID-2013-10713	Medium	APAC	Standard Class	False
ID-2013-10909	Medium	APAC	Standard Class	False
ID-2013-10972	Medium	APAC	Standard Class	False
ID-2013-11630	Medium	APAC	Standard Class	False
ID-2013-11777	Medium	APAC	Standard Class	False
ID-2013-12148	Medium	APAC	Standard Class	False
ID-2013-12309	Medium	APAC	Standard Class	False
ID-2013-12680	Medium	APAC	Standard Class	False
ID-2013-13072	Medium	APAC	Standard Class	False
ID-2013-13086	Medium	APAC	Standard Class	False
ID-2013-13625	Medium	APAC	Standard Class	False
ID-2013-14087	Medium	APAC	Standard Class	False
ID-2013-15963	Medium	APAC	Standard Class	False
ID-2013-16180	Medium	APAC	Standard Class	False
ID-2013-16593	Medium	APAC	Standard Class	False
ID-2013-18196	Medium	APAC	Standard Class	False
ID-2013-18448	Medium	APAC	Standard Class	False
ID-2013-18616	Medium	APAC	Standard Class	False
ID-2013-19309	Medium	APAC	Standard Class	False
ID-2013-19540	Medium	APAC	Standard Class	False
ID-2013-19666	Medium	APAC	Standard Class	False
ID-2013-19834	Medium	APAC	Standard Class	False
ID-2013-20100	Medium	APAC	Standard Class	False
ID-2013-20527	Medium	APAC	Standard Class	False
ID-2013-21290	Medium	APAC	Standard Class	False
ID-2013-22459	Medium	APAC	Standard Class	False
ID-2013-22753	Medium	APAC	Standard Class	False
ID-2013-23845	Medium	APAC	Standard Class	False
ID-2013-24412	Medium	APAC	Standard Class	False
ID-2013-24545	Medium	APAC	Standard Class	False
ID-2013-24804	Medium	APAC	Standard Class	False
ID-2013-25098	Medium	APAC	Standard Class	False
ID-2013-25329	Medium	APAC	Standard Class	False
ID-2013-26092	Medium	APAC	Standard Class	False
ID-2013-26400	Medium	APAC	Standard Class	False
ID-2013-26491	Medium	APAC	Standard Class	False
ID-2013-26526	Medium	APAC	Standard Class	False
ID-2013-26806	Medium	APAC	Standard Class	False
ID-2013-27856	Medium	APAC	Standard Class	False
ID-2013-27989	Medium	APAC	Standard Class	False
ID-2013-28479	Medium	APAC	Standard Class	False
ID-2013-29102	Medium	APAC	Standard Class	False
